subID,duration,object_attended,cat_clook
3201,0.53,1,4
3201,0.56,3,1
3201,0.57,3,1
3201,0.6,2,1
3201,0.6,2,1
3201,0.634,1,1
3201,0.67,2,1
3201,0.7,3,5
3201,0.701,2,1
3201,0.74,1,1
3201,0.76,2,1
3201,0.77,2,3
3201,0.77,1,5
3201,0.8,2,1
3201,0.8,3,3
3201,0.801,1,5
3201,0.87,3,1
3201,0.9,3,2
3201,0.93,3,1
3201,0.93,3,2
3201,0.94,3,5
3201,0.97,3,2
3201,0.97,3,3
3201,0.97,2,3
3201,1,1,3
3201,1.04,3,2
3201,1.06,2,3
3201,1.068,1,4
3201,1.068,1,5
3201,1.07,3,2
3201,1.13,3,1
3201,1.2,2,1
3201,1.2,1,3
3201,1.2,1,3
3201,1.27,3,5
3201,1.334,2,3
3201,1.36,1,3
3201,1.368,1,4
3201,1.4,1,5
3201,1.43,3,5
3201,1.5,2,3
3201,1.51,1,3
3201,1.54,2,3
3201,1.569,2,5
3201,1.61,2,2
3201,1.64,3,3
3201,1.8,2,5
3201,1.8,1,5
3201,1.87,1,5
3201,1.97,1,3
3201,1.97,1,4
3201,2,2,3
3201,2.04,1,2
3201,2.069,2,1
3201,2.3,1,3
3201,2.33,3,3
3201,2.37,3,2
3201,2.4,1,3
3201,2.403,2,5
3201,2.43,2,5
3201,2.53,2,4
3201,2.6,1,3
3201,2.64,1,3
3201,2.7,1,3
3201,2.703,3,4
3201,2.97,2,5
3201,3,2,3
3201,3.03,1,4
3201,3.103,1,5
3201,3.23,3,3
3201,3.54,2,4
3201,3.67,2,2
3201,3.77,2,4
3201,4.27,2,5
3201,4.405,1,4
3201,4.64,2,5
3201,4.738,3,5
3201,4.771,3,4
3201,5.03,3,4
3201,5.48,1,5
3201,5.87,1,5
3201,6.51,3,5
3201,9.71,3,2
3201,10.28,2,3
3201,10.88,3,4
3201,11.55,3,5
3202,0.7,3,1
3202,0.733,2,1
3202,1.17,3,1
3202,1.17,3,3
3202,1.3,1,5
3202,1.37,1,5
3202,1.466,2,5
3202,1.66,2,5
3202,1.667,3,5
3202,1.9,3,2
3202,1.93,1,5
3202,2.23,2,5
3202,2.5,1,5
